Crude Oil Production Iraq Annual
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_IZ.A
18:52:31 GMT+0000 (Greenwich Mean Time)
Source: U.S. Energy Information Administration
Year,Series ID: STEO.COPR_IZ.A million barrels per day
2017,4.4406849315
2016,4.4265163934
2015,4.0290410959
2014,3.3430410959
2013,3.0293835616
2012,2.9583333333
2011,2.6006849315
2010,2.3745205479
2009,2.3712328767
2008,2.370136612
2007,2.0834246575
2006,1.9926027397
2005,1.8746575342
2004,2.0084699454
2003,1.304924
2002,2.018
2001,2.385
2000,2.5656830601
1999,2.5028767123
1998,2.1450410959
1997,1.15
1996,0.573798
1995,0.555
1994,0.55253448658
