Crude Oil Production Iraq Quarterly
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_IZ.Q
18:51:18 GMT+0000 (Greenwich Mean Time)
Source: U.S. Energy Information Administration
Quarter,Series ID: STEO.COPR_IZ.Q million barrels per day
Q3 2018,4.6592282609
Q2 2018,4.5012087912
Q1 2018,4.4596666667
Q4 2017,4.3638043478
Q3 2017,4.5046195652
Q2 2017,4.4384615385
Q1 2017,4.4561666667
Q4 2016,4.6065217391
Q3 2016,4.4263586957
Q2 2016,4.386043956
Q1 2016,4.2851648352
Q4 2015,4.3494565217
Q3 2015,4.2989130435
Q2 2015,3.9659340659
Q1 2015,3.4894444444
Q4 2014,3.5314130435
Q3 2014,3.2844565217
Q2 2014,3.2917582418
Q1 2014,3.2622222222
Q4 2013,2.9331521739
Q3 2013,3.0442934783
Q2 2013,3.0912087912
Q1 2013,3.05
Q4 2012,3.1157608696
Q3 2012,3.1489130435
Q2 2012,2.9296703297
Q1 2012,2.6351648352
Q4 2011,2.7
Q3 2011,2.6326086957
Q2 2011,2.5335164835
Q1 2011,2.5344444444
Q4 2010,2.4005434783
Q3 2010,2.3163043478
Q2 2010,2.3664835165
Q1 2010,2.4155555556
Q4 2009,2.3668478261
Q3 2009,2.45
Q2 2009,2.3835164835
Q1 2009,2.2827777778
Q4 2008,2.3398913043
Q3 2008,2.4244565217
Q2 2008,2.417032967
Q1 2008,2.2989010989
Q4 2007,2.2836956522
Q3 2007,2.0483695652
Q2 2007,2.067032967
Q1 2007,1.9311111111
Q4 2006,2.0336956522
Q3 2006,2.1836956522
Q2 2006,1.9824175824
Q1 2006,1.7655555556
Q4 2005,1.7168478261
Q3 2005,1.9826086957
Q2 2005,1.9
Q1 2005,1.9
Q4 2004,1.9358695652
Q3 2004,2.0304347826
Q2 2004,1.9659340659
Q1 2004,2.1021978022
Q4 2003,1.8453015246
Q3 2003,0.99984551467
Q2 2003,0.26295683739
Q1 2003,2.1179406687
Q4 2002,2.3765217391
Q3 2002,1.7155434783
Q2 2002,1.5336263736
Q1 2002,2.4504444444
Q4 2001,2.5279357055
Q3 2001,2.5134541089
Q2 2001,2.2743885277
Q1 2001,2.2194197895
Q4 2000,2.3820652174
Q3 2000,2.7925
Q2 2000,2.7565934066
Q1 2000,2.3310989011
Q4 1999,2.0871195652
Q3 1999,2.8331521739
Q2 1999,2.5681318681
Q1 1999,2.5242777778
Q4 1998,2.4494565217
Q3 1998,2.4826086957
Q2 1998,2.0471428571
Q1 1998,1.5877777778
Q4 1997,1.2253600446
Q3 1997,1.241059752
Q2 1997,1.0376845773
Q1 1997,1.0934453575
Q4 1996,0.65882452084
Q3 1996,0.54524894921
Q2 1996,0.54524894921
Q1 1996,0.54524894921
Q4 1995,0.555
Q3 1995,0.555
Q2 1995,0.555
Q1 1995,0.555
Q4 1994,0.55500024
Q3 1994,0.55500024
Q2 1994,0.55500024
Q1 1994,0.54500024
