Crude Oil Production OPEC Total Annual
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_OPEC.A
11:48:49 GMT+0100 (British Summer Time)
Source: U.S. Energy Information Administration
Year,Series ID: STEO.COPR_OPEC.A million barrels per day
2020,30.268836913
2019,30.526971559
2018,31.963449315
2017,32.069443836
2016,32.205881396
2015,31.224853534
2014,29.983287244
2013,29.945787014
2012,31.010647216
2011,29.84225543
2010,29.946093216
2009,29.187855814
2008,31.217692702
2007,29.976759225
2006,30.392313189
2005,30.834413858
2004,29.571832385
2003,27.180067438
2002,25.721592014
2001,27.342239726
2000,28.227869672
1999,26.530486986
1998,27.655802548
1997,26.704919192
1996,25.381005044
1995,24.935575822
1994,24.564571744
